Exact question,Design Principle,Descriptive Codes,Students reactions
The technical setup (VPN/pgAdmin/login) was easy to navigate.,Tool/feedback usefulness,Initial setup was challenging,Perceived task has value cost (negative aspects of engaging in the task)
The milestone pacing helped our team stay on track.,Team/coordination,Status flags helped track team progress,Team Coordination
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,"Confident with debugging data retrieval through tools (pgAdmin, DB app)",Perceived task having instrinsic value (enjoyment)
The technical setup (VPN/pgAdmin/login) was easy to navigate.,Tool/feedback usefulness,Initial setup was complex,Perceived task has value cost (negative aspects of engaging in the task)
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Test feature by debugging in order,System debugging effectiveness
The project activities matched what I was expected to learn in the course.,Learning process & self-efficacy,Better understanding of how data flows,System structure helps comprehension
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,Learned to apply SQL queries to Chat app backend,System structure helps comprehension
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Handout help guide operation and serve as user manual of Chat app feature,System structure easy to navigate
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
Progress indicators helped my team plan work.,Tool/feedback usefulness,Progress Indicators helped task organization (status flag),System debugging effectiveness
The technical setup (VPN/pgAdmin/login) was easy to navigate.,Tool/feedback usefulness,Test feature by checking chat app data add/updates in pgAdmin db,System debugging effectiveness
I was motivated to make the app work.,Engagement & authenticity,Passing status flag and seeing green pass feels rewarding,Perceived task having instrinsic value (enjoyment)
The chat app context made database work feel relevant.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
The project was challenging in a productive way.,Learning process & self-efficacy,Perceive project as challenging but in productive way,Perceived task has value cost (negative aspects of engaging in the task)
I was motivated to make the app work.,Engagement & authenticity,Motivated to make the app work,Perceived task having instrinsic value (enjoyment)
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Implementing app backend practiced SQL query skills,System structure helps comprehension
The technical setup (VPN/pgAdmin/login) was easy to navigate.,Cognitive load/friction,Query writing was friction free,Believes ability to succeed task
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,Realized mistake in ordering messages on the Chat app,System debugging effectiveness
