,,,"Final Project, Chat App (out of 121 replies, 130 students)",,,,,,,,,,,,,,,,,,,,,,
Timestamp,How many coding-focused classes had you taken before college?,How many coding-focused classes had you taken IN COLLEGE before INFO 330?,Engagement & authenticity [This project felt like a real‑world scenario.],Engagement & authenticity [I was motivated to make the app work.],Engagement & authenticity [The chat app context made database work feel relevant.],Learning process & self‑efficacy [The project was challenging in a productive way.],Learning process & self‑efficacy [The project let me make decisions rather than just follow steps.],Learning process & self‑efficacy [I can explain how constraints improve data quality.],Learning process & self‑efficacy [I can design tables and keys for a new app feature.],Learning process & self‑efficacy [I can debug SQL by comparing expected vs. actual outputs.],Learning process & self‑efficacy [I could apply what I learned in this project to a different app or database scenario.],Learning process & self‑efficacy [The project activities matched what I was expected to learn in the course.],Learning process & self‑efficacy [I became more comfortable working through open-ended requirements.],Tool/feedback usefulness [The SQL Lab feedback helped me identify what to fix.],Tool/feedback usefulness [Progress indicators helped my team plan work.],Tool/feedback usefulness [I can debug SQL by comparing expected vs. actual outputs.],Cognitive load / friction [The technical setup (VPN/pgAdmin/login) was easy to navigate.],"Cognitive load / friction [After Milestone 1, most of my effort went into SQL, not tool setup.]",Team/coordination [The milestone pacing helped our team stay on track.],"How many hours, on average, did you spend on each of Milestones 1-5?","
Describe a moment when the tool helped you understand SQL or schema design.","What was the most frustrating part, and why?",What is something you learned through this project that you didn't expect to?,"Would you have preferred to do this project individually? Yes / No, why?","Moving forward, many sections of INFO 330 will be going through a version of this project at the Information School. If you had to send them a message about how to better engage with the project, what would you want them to know?"
3/12/2026 23:16:10,0,5,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-3,"one moment where the tool helped me understand SQL or schema design is having the ""SQL backend lab"" to see all the ""behind the scenes"" work. It helps to know what went wrong and what needs to be fixed.","i think starting off, this is my first introduction to sql and using other platforms other than R or VScode","something I didn't expect to learn was how different software tools all work in a similar way. Once you learn one, it becomes much easier to understand and navigate the next one.","yes and no, i wouldve been able to do this individually with no problem but i had a good and hardworking team who made this project flow smoothly and with an incredible amount of support.","one thing i would want them to know is that communication is key when working with your group! It is also very important to make sure you read and understand every step, because missing just one will be very hard to recover from."
3/12/2026 23:25:36,3,2,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,3,Let me know that my syntax was wrong and that I needed either a select statement or that the parameters did not work for the functions I was trying to to the SQL Backend Lab. What was also usefull is seeing how it showed the prior inputs you have for that parameter.  ,At times the sql statements would not save resetting progess and causing me to have to copy and paste them all over again. Also connection to the database and synchronization with the VPN was hit or miss. ,I learned about data modeling specifically through ERD's which was super fun. Learning about designing and cardinality was useful and became very challening when actually creating the tables to fit those guidlines in the model. ,No I enjoyed splitting the workload and sharing ideas with the teammate. I also feel like to do this project individually is too much workload. , Make sure to tinker around with the fully functioning demo project to better understand how you will design your database to meet its needs. With milestone one I first struggled with creating the ERD as it was confusing deciding how the cardinality should work but through actually using the fully functioning demo I was able to connect the dots. 
3/12/2026 23:59:59,2,8,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,5-10,"Using the frontend chatbox website helped me better understand SQL and schema design because it made the database feel connected to a real application. Instead of only writing queries and tables in isolation, we could see how the data we created was actually used by the app. For example, when messages were sent in the chat interface, they immediately appeared in the database tables. This helped me understand how the messages, channels, and channel_members tables were related and why certain columns were necessary. Seeing the app first retrieve data and the SQL backend actually save it allowed my team to fully understand what was going on. The chatbox website was especially helpful was when thinking about schema design for messages and channels. By interacting with the frontend, it became easier to see why channel_members needed to be a whole different table outside of just the need for normalization. This also helped reinforce the idea of using foreign keys as primary keys like username and channel_name to link tables together. It also helped me understand why queries needed to join multiple tables in order to answer questions about activity or interactions.","I would say the most frustrating part would usually be trying to figure out what the actual assignment was asking of us. The set up would be pretty unorganized, or atleast for a student to look at, which made it hard to figure out what exactly needed to be done and how.","I learned that when split up into small parts, creating a database does not need to be so highly difficult. Though I understand this is a low-level of what happens in the real world, I honestly anticipated the project to be much more difficult than it actually was. ","No, with a group of 3 I think the project was easy to get down, split the work, and understand the requirements/how to do parts by talking it through. You also create a specific time at which you will work on the class work.","Make the milestone better to read and easy to understand to ensure students will be less confused about project work. Also, make the SQL Backend Lab a bit more easy to understand as well because I think when work looks confusing it becomes discouraging to students which I know happened to me and my group however if there was more context as to what was going on with both the milestone and on the lab description it would be very helpful. "
3/13/2026 0:30:52,1,2,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,4 hours,"My most profound realization about PostgreSQL came when executing JOIN queries across multiple tables in a database. Having had little exposure to programming concepts before, I was genuinely curious about how to select and connect different tables.","When a database schema contains numerous tables and relationships, it can easily become confusing. Debugging SQL queries proved frustrating as errors kept appearing repeatedly, and I grew increasingly concerned that modifying the errors might also impact the data content.","The crucial role played by concepts such as primary keys, foreign keys, and normalization. I used to think SQL was primarily about writing queries. But the reality is more complex than that. Although they belong to the same entity when drawing ERDs, differences in primary keys and other aspects significantly impact queries.","No, team work can give me more chance to discuss and share my ideas.","Start thinking about the schema design early and not wait until the SQL part of the project. If issues arise in the initial schema design, they will lead to greater difficulties later on. For example, ambiguous relationships or missing keys. Designing the schema correctly from the start makes writing queries much easier. Just like our team, when we designed Milestone 1, we made the wrong choice for the primary key, which caused frequent problems later on. We had to go back to Milestone 1 to make revisions and debug everything that followed, significantly increasing our workload. Therefore, initial decisions become even more critical."
3/13/2026 1:13:56,"one, but I failed on that class, C++ is so hard :(",four,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,3-5,"When in class, the professor taught us about in what circumstances would the query not work or have an error, although I put effort on listening, it's still not clear for me, but when I try different code in pgAdmin and see the result, I got a better understanding on why or what happened to the query. ","To me the frustrating part has nothing to do with the course material or coding, it's more of my setup problem, everytime when I was using pgAdmin, when I wrote the code, it needed 3 second to load on the screen and that really distract me on writing code on it, and the run query also spent a lot of time producing(I got a potato PC).","Something that i didn't expect to learn throught the project is the mindset of setting a database, I thought I would be just writing what ever the instruction told me to do and try it till I worked it out. But since the project have a lot of room to strech, it lead me to think about how I want to set the database, what variable, PK and FK I want to have, also the constraint I need, etc. ","I won't because some of the milestone does take a lot of time doing so if individual, the workload would be quite big. Also by doing in a team, we can discuss about the query, like how to improve it? What's the problem with the query? etc. ","I would want to tell them to listen closely in the lab session, because it really gives a lot of useful information on the project. On top of that, don't be afraid to ask your teammates, sometimes when you don't understand the concept, they can provide help with it."
3/13/2026 1:34:14,0,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,2-3,"One moment when the tool helped me understand SQL and schema design was when I was working on queries that counted messages per channel and per user. By looking at how the tables were connected through keys like user_id and channel_id, I better understood how joins work and why relationships between tables are important in a database schema. It helped me see how a well-designed schema makes it much easier to write queries and retrieve meaningful information from the data.","The most frustrating part was figuring out why some of my SQL queries were returning incorrect counts or unexpected results. It was often confusing to determine whether the issue was coming from the query itself, the joins between tables, or the way the schema was structured. Debugging these problems took time because small mistakes, like grouping by the wrong column or misunderstanding a relationship between tables, could completely change the output.","One thing I learned that I didn’t expect was how important database schema design is for writing efficient SQL queries. I realized that if tables and relationships are structured clearly with proper keys, queries become much easier to write and understand. Before this project, I mostly thought SQL was just about writing commands, but I learned that the underlying schema plays a huge role in how well a database works.","No, I would not have preferred to do this project individually because working in a team made it easier to solve problems and debug SQL queries together. When someone was stuck on a query or schema design issue, another teammate could help explain or suggest a different approach. Collaborating also helped us catch mistakes faster and learn from each other’s ideas.","Start by really understanding the schema and relationships between tables, because once you know how the data is connected, writing the SQL queries becomes much easier.Also, don’t be afraid to test small queries and debug step by step, because breaking the problem into smaller parts makes complex SQL much easier to understand."
3/13/2026 1:48:12,2,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,13,"The SQL Lab Tab progress tracker helped me visualize and understand what I was still struggling with, and which concepts I had mastered. Additionally, this helped me understand what the end goal of the schema was, helping me better understand the schema design, allowing me to work to acheive it as best as I could.","The milestone grading felt very strict sometimes. I felt worried after my team scored very low on the first milestone and my grade for this class remained super low for a long time. I felt like some scoring parts were impossible to ""perfect"", for example, I feel like my team lost points for the team reflection many times, and I had a hard time understanding why.","I didn't expect to learn the importance of planning large deliverables (like the milestones) in advance. Especially in a group setting, when things got put off to the last minute, our team really struggled on submitting quality products. We learned the importance of dividing and planning in a group setting.",No. I think this was a good learning experience about how to work with people who had different work habits as me.,"I would recommend that teams make a strong schedule and plan how they will divide their work before starting each milestone. Also, I would ask that they trust the process, and trust that all the milestones will lead them to success if done as planned."
3/13/2026 1:54:18,0,2,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,2.5,"One moment, the tool helped me understand SQL during our chat app database project. While creating tables and writing queries, I used it to check my SQL syntax and relationships between tables. It helped me better understand how foreign keys connect tables and why schema design is important for organizing data correctly.","The most frustrating part was debugging SQL queries when small mistakes, like typos or incorrect joins, caused errors. It was frustrating at times, but it helped me learn to check my queries more carefully.",I learned how important small details are in database design. Even a small mistake in a column name can cause the system to not work.,No. Working in a group helped because we could help each other when something wasn’t working and share ideas when solving problems.,"Start early and test your SQL queries often. Small mistakes can cause things to break, so it helps to check your work step by step. I would also say to always stay in communication with your group because it makes the project much easier. When everyone shares updates and helps solve problems together, things move a lot smoother."
3/13/2026 1:55:43,none,7 or 8 classes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,If tool as in the feedback from the professor or TA was useful and helpful to understand what went wrong. The lecture notes are also helpful and labs as well. I was confused about something and its easy to recall through that. ,"I think one pain point is sometimes the feedback is a little confusing, and we think we corrected something but we didn't.","I actually had so much fun when the chat box worked, it was a good incentive to pass the SQL lab. I really enjoyed working through those problems and having it be interactive while writing to code it helped me learn a lot. ","I dont think I would, my team needed a lot of guidance and it's exhausting when i did have to carry, but i still would prefer to do it with a group than on my own because it was heavy content","I really like the SQL lab. For me the concept of having to pass the queries and checking back on a UI was engaging and kept me locked in. I think that really helped a lot with the learning process. It's always hard working in a team, so I guess maybe finding a way to hold other students accountable? "
3/13/2026 2:48:50,nothing,5,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,3,"During Milestone 5, the tool helped me better understand how SQL queries connect to real-life scenarios. Instead of only writing simple queries, we had to think about how messages, users, and channels relate to each other in a real chat system. This helped me understand why joins, grouping, and window functions are useful. Seeing how the queries worked with actual data made the concepts of SQL and schema design much clearer for me.","The most frustrating part was getting started with the SQL chat lab. At the beginning, it was confusing to understand the structure of the tables and how they were related. I also struggled with knowing where to start when writing the queries. Once I understood the schema and relationships between the tables, it became much easier to write the SQL queries.","One thing I didn’t expect to learn from this project was how important the structure of a database is for writing SQL queries. At first I thought SQL was mostly about syntax, but during this project I realized that understanding the relationships between tables is just as important. Knowing how the schema is designed makes it much easier to write correct queries.","I would prefer to do this project individually because it helps maintain consistency in the work and allows me to move at my own pace without waiting for teammates. Also, when the work is divided among group members, I sometimes miss the opportunity to fully learn all parts of the project.",I would suggest that students first learn the basic structure of SQL and understand where the data comes from in the database. It is also important to focus on the logic behind SQL queries instead of only memorizing the syntax. Understanding the logic of SQL will make it much easier to complete the project.
3/13/2026 3:02:57,one about python,4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"i can't remember, but i spent a lot of time on it. Like 4-5 hours on average. ","One moment was when we were testing queries in the app and something did not work correctly. We checked the tables and realized the foreign key relationship was wrong. After fixing it, the query worked. That moment helped me understand how important schema design and table relationships are for SQL queries.","The most frustrating part was debugging SQL queries. Sometimes the query looked correct but still did not return the expected result. Small mistakes like joins, column names, or grouping could cause problems. It often took time to check the data and find where the issue was.","I did not expect to learn how databases support a real application. Before this class, SQL felt more like practice exercises. Through this project I saw how tables, queries, and relationships work together to power features like messaging and channels in an app.","No, I think working in a group was helpful. Different people in the team understood different parts of the project. When someone got stuck with SQL or schema design, another person could help. It also made the workload more manageable across the milestones.","Start the milestones early and test your queries often. Small mistakes can take a lot of time to debug, so it helps to run queries step by step. Also check your schema carefully because table relationships affect many queries later in the project."
3/13/2026 3:09:49,2,4,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Agree,8,I assume we're talking about the tool in pgadmin that identified issues. I guess it was helpful in the same way a regular code compiler does?  I'm not sure what really differed between it and a typical code compiler. ,"I found the course to be very disorganized, particularly the lectures. The way things are explained/described is as if we should just magically understand what's being talked about, and I felt a sense of frustration when students weren't able to grasp concepts that they'd just learned. ","I learned that I don't want to pursue the data science track in Informatics. I think databases and all this are really interesting, but I realize I much prefer design work. I plan on adjusting my trajectory at UW accordingly. ",No. This was my first experience with SQL and working with others was really helpful.,"Get a really good group and expect to spend way more time than you think you'll need on milestones. 

I don't have any other feedback that I can write to get to 200 characters, not totally sure what else to say."
3/13/2026 3:11:58,0,4,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,4,"I loved when pgadmin would give you the errors and what line they would occur, most of my errors came from spelling so pointing out what line and what piece of code it was helped. erd diagrams were also helpful once i understood how to do them for desiging db","connecting to the pgadmin, i had a bunch of issues with the servers and vpn that happened mid quarter and it was difficult to navigate","i am suprised i learned how to set up a working database, i thought we would just be learning the code and not setting up working systems.",no- i did have some issues with my group and overall collaboration but i would not have liked to have done this indivudally as I believe it would have been harder in the long run,"starting sooner in the quarter to be more spaced out. the milestones towards the end felt rushed and it felt difficult to do. i wish the midterm was done earlier or was graded faster, ending the quarter without having a midterm grade out yet is diffcult."
